+:1
100:1
10K:1
1K:5
5V/12V_BEC1:1
<- ACCELEROMETER:1
D1:1
D2:1
D3:1
D4:1
D5:1
ESC1:1
ESC2:1
FINGERTECH_SWITCH1:1
J1:1
J2:1
J3:1
J4:1
RECEIVER:1
SEEED_STUDIO_ESP32-S3_PLUS1:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
XT-30_VERT1:1
XT-30_VERT3:1
